signal,non_missing_share,nonzero_share,mean,std,p50,p75,p90,p95,p99,p95_minus_p50,p99_minus_p50,spread_coverage_index,diagnostic_rank
review_text_size_issue_score,1.0,1.0,0.30775915256201314,0.050416705574063025,0.3024354555791589,0.33005662998183566,0.3664573599662647,0.39325179893659734,0.4791820198381343,0.09081634335743843,0.1767465642589754,0.09081634335743843,1
review_text_quality_issue_score,1.0,1.0,0.05425836991311433,0.021484161496736078,0.05124272306456783,0.05936612399850561,0.07789577848067714,0.0937426801133319,0.1328058319567991,0.04249995704876407,0.08156310889223127,0.04249995704876407,2
review_text_negative_language_score,1.0,1.0,0.13638640108019698,0.020251874017827347,0.13440885507584052,0.14596219122304854,0.1600924924161168,0.172060275386366,0.19749275157955007,0.037651420310525485,0.06308389650370955,0.037651420310525485,3
rating_issue_score,0.815444661276833,1.0,0.11499667986434384,0.02271438748473111,0.11167403364755762,0.1249367611082677,0.1441709759230592,0.15622040608865467,0.1835250983331414,0.04454637244109705,0.07185106468558378,0.03632510158634203,4
review_text_color_issue_score,1.0,1.0,0.0044615118869036335,0.004230669753322482,0.003982915782491379,0.0045738275043170455,0.004811789064511334,0.009412334655458399,0.026314655528465604,0.00542941887296702,0.022331739745974223,0.00542941887296702,5
