model,split,pr_auc,roc_auc,top_5pct_score_cutoff_from_validation,precision_at_cutoff,recall_at_cutoff,f1_at_cutoff,base_rate
rf_price_time,validation,0.02261385701622564,0.6175071103465731,0.5614330021037975,0.026148969889064975,0.0868421052631579,0.040194884287454324,0.015250020065815877
rf_price_time,calibration,0.024810707762618497,0.5750133378426875,0.5614330021037975,0.02982016844980651,0.11592920353982301,0.047437986601484704,0.01876639984056864
rf_price_time,test,0.015154761183858138,0.5618340100595082,0.5614330021037975,0.015689071135674807,0.06437454279444038,0.02522935779816514,0.012481966434741322
rf_transaction_context,validation,0.03197563031948766,0.6968220209471024,0.5653306565310462,0.042029534267322984,0.14605263157894738,0.065274919141429,0.015250020065815877
rf_transaction_context,calibration,0.03920791449551804,0.6862761761715583,0.5653306565310462,0.054140127388535034,0.19557522123893806,0.08480429777436685,0.01876639984056864
rf_transaction_context,test,0.0262429269708736,0.697689635309466,0.5653306565310462,0.030911901081916538,0.1755669348939283,0.0525681743511116,0.012481966434741322
rf_history_smoothed,validation,0.05855800188391172,0.7469443071112045,0.654584062954479,0.07019655034095468,0.23026315789473684,0.10759299108515216,0.015250020065815877
rf_history_smoothed,calibration,0.049279270092099856,0.6908457615166768,0.654584062954479,0.06613080014614542,0.16017699115044248,0.09361261960175847,0.01876639984056864
rf_history_smoothed,test,0.049000148496076576,0.752751343344177,0.654584062954479,0.07061556329849013,0.22238478419897587,0.1071932299012694,0.012481966434741322
rf_history_unsmoothed,validation,0.05505879822183404,0.7444434330640768,0.6634793104518634,0.07504012841091492,0.24605263157894736,0.11500615006150061,0.015250020065815877
rf_history_unsmoothed,calibration,0.050362131724611556,0.6810439299560307,0.6634793104518634,0.0760342899739098,0.18053097345132743,0.10700236034618411,0.01876639984056864
rf_history_unsmoothed,test,0.05192874808152454,0.7510413368039024,0.6634793104518634,0.06544226303567659,0.22677395757132407,0.10157273918741809,0.012481966434741322
logistic_history,validation,0.05327465617684161,0.7555418073364191,0.785665480747434,0.08105939004815409,0.2657894736842105,0.12423124231242312,0.015250020065815877
logistic_history,calibration,0.08261172437894188,0.7036362434044705,0.785665480747434,0.09183046683046683,0.2646017699115044,0.13634290925672596,0.01876639984056864
logistic_history,test,0.04789129489967533,0.7484238099272957,0.785665480747434,0.06385672937771346,0.2582297000731529,0.10239303843364757,0.012481966434741322
